Date,SP500,STOXX50
2008-03-31,1322.699951,3628.0600590000004
2008-04-01,1370.180054,3753.5500490000004
2008-04-02,1367.530029,3797.899902
2008-04-03,1369.310059,3774.9399409999996
2008-04-04,1370.400024,3795.1999509999996
2008-04-07,1372.540039,3828.459961
2008-04-08,1365.540039,3810.51001
2008-04-09,1354.48999,3775.929932
2008-04-10,1360.550049,3758.0500490000004
2008-04-11,1332.829956,3699.98999
2008-04-14,1328.319946,3671.280029
2008-04-15,1334.430054,3690.75
2008-04-16,1364.709961,3748.5600590000004
2008-04-17,1365.560059,3725.2299799999996
2008-04-18,1390.329956,3808.5900880000004
2008-04-21,1388.170044,3769.889893
2008-04-22,1375.939941,3736.1201170000004
2008-04-23,1379.930054,3763.5500490000004
2008-04-24,1388.819946,3761.959961
2008-04-25,1397.839966,3794.389893
2008-04-28,1396.369995,3814.76001
2008-04-29,1390.939941,3793.6298829999996
2008-04-30,1385.589966,3825.0200200000004
2008-05-02,1413.900024,3877.5
2008-05-05,1407.48999,3872.149902
2008-05-06,1418.26001,3845.080078
2008-05-07,1392.569946,3871.780029
2008-05-08,1397.680054,3855.860107
2008-05-09,1388.280029,3801.5900880000004
2008-05-13,1403.040039,3817.070068
2008-05-14,1408.660034,3857.459961
2008-05-15,1423.569946,3854.860107
2008-05-16,1425.349976,3862.9099119999996
2008-05-19,1426.630005,3882.280029
2008-05-20,1413.400024,3822.3100590000004
2008-05-21,1390.709961,3794.1298829999996
2008-05-22,1394.349976,3793.030029
2008-05-23,1375.930054,3725.820068
2008-05-27,1385.349976,3711.030029
2008-05-28,1390.839966,3743.179932
2008-05-29,1398.26001,3752.23999
2008-05-30,1400.380005,3777.850098
2008-06-02,1385.670044,3720.5
2008-06-03,1377.650024,3737.3400880000004
2008-06-04,1377.199951,3699.0500490000004
2008-06-05,1404.050049,3682.830078
2008-06-06,1360.680054,3596.6999509999996
2008-06-09,1361.76001,3597.3400880000004
2008-06-10,1358.439941,3574.6999509999996
2008-06-11,1335.48999,3509.389893
2008-06-12,1339.869995,3542.5900880000004
2008-06-13,1360.030029,3562.669922
2008-06-16,1360.140015,3532.830078
2008-06-17,1350.930054,3555.580078
2008-06-18,1337.810059,3507.969971
2008-06-19,1342.829956,3486.709961
2008-06-20,1317.930054,3426.580078
2008-06-23,1318.0,3427.330078
2008-06-24,1314.290039,3404.5200200000004
2008-06-25,1321.969971,3460.399902
2008-06-26,1283.150024,3366.350098
2008-06-27,1278.380005,3340.27002
2008-06-30,1280.0,3352.810059
2008-07-01,1284.910034,3292.860107
2008-07-02,1261.52002,3288.52002
2008-07-03,1262.900024,3330.899902
2008-07-07,1252.310059,3332.659912
2008-07-08,1273.699951,3287.600098
2008-07-09,1244.689941,3342.47998
2008-07-10,1253.390015,3283.01001
2008-07-11,1239.48999,3197.780029
2008-07-14,1228.300049,3216.23999
2008-07-15,1214.910034,3142.72998
2008-07-16,1245.359985,3174.76001
2008-07-17,1260.319946,3256.090088
2008-07-18,1260.680054,3321.530029
2008-07-21,1260.0,3333.919922
2008-07-22,1277.0,3326.23999
2008-07-23,1282.189941,3387.5
2008-07-24,1252.540039,3354.580078
2008-07-25,1257.76001,3351.1298829999996
2008-07-28,1234.369995,3313.409912
2008-07-29,1263.199951,3324.860107
2008-07-30,1284.26001,3367.330078
2008-07-31,1267.380005,3367.820068
2008-08-04,1249.01001,3289.26001
2008-08-05,1284.880005,3380.0900880000004
2008-08-06,1289.189941,3409.0200200000004
2008-08-07,1266.069946,3397.25
2008-08-08,1296.319946,3408.4799799999996
2008-08-11,1305.319946,3445.6599119999996
2008-08-12,1289.589966,3436.850098
2008-08-13,1285.829956,3354.75
2008-08-14,1292.930054,3356.8400880000004
2008-08-15,1298.199951,3367.6201170000004
2008-08-18,1278.599976,3366.0900880000004
2008-08-19,1266.689941,3279.75
2008-08-20,1274.540039,3295.280029
2008-08-21,1277.719971,3248.919922
2008-08-22,1292.199951,3312.409912
2008-08-25,1266.839966,3280.409912
2008-08-26,1271.51001,3297.419922
